strategy,run,peak_exposed,peak_infected,final_recovered,compromise_step
full_push,1,65,76,100,8
full_push,2,71,82,100,4
full_push,3,62,73,100,1
full_push,4,70,78,100,5
full_push,5,70,77,100,5
full_push,6,68,79,100,3
full_push,7,74,68,100,1
full_push,8,63,81,100,2
full_push,9,62,78,100,2
full_push,10,70,72,100,3
full_push,11,69,82,100,6
full_push,12,72,73,100,1
full_push,13,72,80,100,2
full_push,14,71,74,100,9
full_push,15,66,70,100,2
full_push,16,68,80,100,1
full_push,17,66,72,100,12
full_push,18,63,80,100,1
full_push,19,68,80,100,2
full_push,20,58,72,100,1
full_push,21,63,75,100,1
full_push,22,67,81,100,3
full_push,23,65,71,100,12
full_push,24,68,69,100,1
full_push,25,70,76,100,1
full_push,26,66,78,100,5
full_push,27,59,70,100,3
full_push,28,74,83,100,1
full_push,29,65,80,100,5
full_push,30,75,80,100,1
full_push,31,68,72,100,4
full_push,32,64,80,100,7
full_push,33,63,76,100,2
full_push,34,69,76,100,8
full_push,35,74,75,100,2
full_push,36,70,81,100,3
full_push,37,61,71,100,1
full_push,38,58,85,100,4
full_push,39,62,69,100,3
full_push,40,70,68,100,1
full_push,41,61,75,100,3
full_push,42,72,75,100,5
full_push,43,58,79,100,2
full_push,44,77,77,100,7
full_push,45,68,82,100,3
full_push,46,60,72,100,14
full_push,47,60,75,100,1
full_push,48,66,79,100,2
full_push,49,65,69,100,1
full_push,50,63,77,100,3
full_push,51,67,82,100,2
full_push,52,68,78,100,2
full_push,53,79,77,100,5
full_push,54,60,73,100,4
full_push,55,69,70,100,2
full_push,56,70,75,100,7
full_push,57,70,75,100,12
full_push,58,74,76,100,3
full_push,59,71,75,100,6
full_push,60,64,73,100,1
full_push,61,63,75,100,7
full_push,62,68,75,100,2
full_push,63,67,78,100,4
full_push,64,60,74,100,3
full_push,65,63,73,100,1
full_push,66,70,75,100,3
full_push,67,64,79,100,3
full_push,68,67,74,100,7
full_push,69,69,76,100,2
full_push,70,63,75,100,6
full_push,71,62,79,100,10
full_push,72,64,79,100,1
full_push,73,61,72,100,6
full_push,74,72,84,100,6
full_push,75,59,71,100,1
full_push,76,77,74,100,8
full_push,77,70,77,100,3
full_push,78,67,76,100,13
full_push,79,69,78,100,4
full_push,80,64,73,100,2
full_push,81,71,77,100,8
full_push,82,61,79,100,6
full_push,83,64,75,100,4
full_push,84,68,70,100,12
full_push,85,77,78,100,2
full_push,86,69,82,100,4
full_push,87,66,73,100,9
full_push,88,66,78,100,3
full_push,89,69,78,100,5
full_push,90,73,79,100,4
full_push,91,68,74,100,1
full_push,92,62,72,100,1
full_push,93,68,75,100,1
full_push,94,60,71,100,2
full_push,95,69,78,100,1
full_push,96,63,72,100,3
full_push,97,68,77,100,3
full_push,98,70,76,100,7
full_push,99,69,75,100,1
full_push,100,72,76,100,3
staged,1,11,21,89,4
staged,2,14,24,100,5
staged,3,13,19,91,5
staged,4,15,25,99,2
staged,5,11,23,99,2
staged,6,16,21,98,2
staged,7,18,28,98,6
staged,8,15,25,96,5
staged,9,14,21,96,3
staged,10,15,21,100,1
staged,11,14,26,98,1
staged,12,13,25,97,3
staged,13,15,23,95,5
staged,14,15,22,98,1
staged,15,12,22,98,1
staged,16,13,22,100,1
staged,17,14,25,100,3
staged,18,16,23,99,4
staged,19,15,19,88,12
staged,20,13,20,91,4
staged,21,15,24,88,7
staged,22,12,24,94,4
staged,23,13,19,98,4
staged,24,16,26,88,10
staged,25,15,26,93,7
staged,26,15,22,100,1
staged,27,15,23,100,4
staged,28,18,24,95,5
staged,29,14,23,100,3
staged,30,15,20,95,6
staged,31,15,23,88,10
staged,32,14,22,99,1
staged,33,13,25,96,8
staged,34,16,25,99,1
staged,35,16,21,97,1
staged,36,13,25,95,2
staged,37,16,24,99,4
staged,38,11,22,98,1
staged,39,16,24,92,5
staged,40,14,25,97,3
staged,41,18,28,99,3
staged,42,13,22,98,2
staged,43,17,25,100,2
staged,44,14,23,98,2
staged,45,12,23,94,2
staged,46,13,23,99,1
staged,47,12,24,97,1
staged,48,14,22,94,7
staged,49,12,20,93,2
staged,50,16,23,99,7
staged,51,13,22,99,2
staged,52,14,21,95,1
staged,53,17,24,100,1
staged,54,12,23,97,3
staged,55,16,24,97,5
staged,56,17,26,100,1
staged,57,16,25,98,1
staged,58,13,21,99,4
staged,59,10,23,96,3
staged,60,16,25,97,1
staged,61,14,22,99,4
staged,62,15,21,100,2
staged,63,14,22,84,12
staged,64,14,20,99,1
staged,65,12,20,89,8
staged,66,14,21,90,9
staged,67,11,26,98,1
staged,68,14,23,100,1
staged,69,16,26,100,4
staged,70,15,23,100,2
staged,71,17,24,97,3
staged,72,16,24,96,3
staged,73,16,24,100,1
staged,74,16,24,98,6
staged,75,18,24,100,1
staged,76,12,21,98,1
staged,77,12,19,92,5
staged,78,14,24,99,1
staged,79,15,24,72,15
staged,80,11,19,99,1
staged,81,16,24,100,2
staged,82,16,22,84,15
staged,83,16,23,100,2
staged,84,13,21,96,3
staged,85,13,18,98,2
staged,86,13,24,99,4
staged,87,14,20,96,2
staged,88,18,25,100,2
staged,89,14,23,87,8
staged,90,15,25,98,4
staged,91,17,21,96,2
staged,92,13,22,98,6
staged,93,13,23,93,6
staged,94,13,20,94,2
staged,95,16,25,98,6
staged,96,15,24,100,2
staged,97,13,23,89,11
staged,98,12,22,97,2
staged,99,12,22,96,4
staged,100,16,26,100,1
