run,strategy,peak_exposed,peak_infected,compromise_step
1,full_push,16,57,1
2,full_push,22,61,4
3,full_push,12,53,3
4,full_push,22,65,4
5,full_push,16,41,5
6,full_push,17,56,6
7,full_push,17,57,3
8,full_push,17,57,10
9,full_push,18,52,6
10,full_push,17,52,4
11,full_push,17,45,1
12,full_push,20,59,2
13,full_push,19,56,1
14,full_push,21,50,7
15,full_push,13,53,1
16,full_push,19,58,5
17,full_push,16,55,2
18,full_push,10,60,6
19,full_push,16,55,8
20,full_push,16,56,1
21,full_push,15,45,1
22,full_push,14,57,1
23,full_push,11,50,8
24,full_push,18,59,2
25,full_push,17,49,4
26,full_push,17,56,7
27,full_push,21,61,5
28,full_push,19,48,2
29,full_push,19,49,10
30,full_push,13,52,1
1,staged,12,50,17
2,staged,14,56,2
3,staged,13,55,8
4,staged,13,63,1
5,staged,11,57,1
6,staged,13,46,3
7,staged,17,63,5
8,staged,16,58,3
9,staged,23,54,8
10,staged,17,56,2
11,staged,12,52,10
12,staged,20,51,15
13,staged,19,55,5
14,staged,22,71,1
15,staged,10,60,1
16,staged,12,68,1
17,staged,22,60,6
18,staged,21,66,2
19,staged,25,53,2
20,staged,15,49,2
21,staged,24,68,1
22,staged,18,60,2
23,staged,19,55,1
24,staged,14,52,3
25,staged,18,56,1
26,staged,14,53,6
27,staged,19,51,1
28,staged,8,56,1
29,staged,21,61,6
30,staged,16,55,7
